Orig,Inf,Pret,Part
Treballar,Arbeiten,Arbeitete,Gearbeitet
Anar,Gehen,Ging,Gegangen
Obtenir,Bekommen,Bekam,Bekommen
Demanar,Bitten,Bat,Gebeten
Necessitar,Brauchen,Brauchte,Gebraucht
Portar,Bringen,Brachte,Gebracht
Discutir,Diskutieren,Diskutierte,Diskutiert
Explicar,Erklären,Erklärte,Erklärt
Menjar,Essen,Aß,Gegessen
Anar/viatjar,Fahren,Fuhr,Gefahren
Donar,Geben,Gab,Gegeben
Caminar/anar,Gehen,Ging,Gegangen
Creure/pensar,Glauben,Glaubte,Geglaubt
Dir-se,Heißen,Heiß,Geheißt
Escoltar/Sentir (oïda),Hören,Hörte,Gehört
Conèixer/saber,Kennen,Kannte,Gekannt
Poder,Können,Konnte,Gekonnt
Correr/Caminar,Laufen,Lief,Gelaufen
Viure,Leben,Lebte,Gelebt
Aprendre,Lernen,Lernte,Gelernt
Obrir,Öffnen,Öffnete,Geöffnet
Viatjar,Reisen,Reiste,Gereist
Dir,Sagen,Sagte,Gesagt
Dormir,Schlafen,Schlief,Geschlafen
Ser/Estar,Sein,War,Gewesen
Parlar,Sprechen,Sprach,Gesprochen
Morir,Sterben,Starb,Gestorben
Estudiar,Studieren,Studierte,Studiert
Buscar,Suchen,Suchte,Gesucht
Beure,Trinken,Trank,Getrunken
Vendre,Verkaufen,Verkaufte,Verkauft
Comprar,Kaufen,Kaufte,Gekauft
Plorar,Weinen,Weinte,Geweint
Voler,Wollen,Wollte,Gewollt
Pensar,Denken,Dachte,Gedacht
Venir,Kommen,Kam,Gekommen
Romandre,Bleiben,Blieb,Geblieben
